1,2,3,4,,,5,,,,,,,
Order ID,Description,Order ID,PK,,,,,,,,,,
Order Date,Description,Order Date,PK,,,Consumer,,,Geography,,,Products,
Ship Date,Description,Ship Date,PK,,,Customer ID,PK,,Country,,,Product ID,PK
Ship Mode,Description,Ship Date,PK,,,Customer Name,,,City,,,Category,
Customer ID,Description,Consumer,PK,,,Segment,,,State,,,Sub-Category,
Customer Name,Description,Consumer,,,,,,,Postal Code,PK,,Product Name,
Segment,Description,Consumer,,,,,,,Region,,,,
Country,Description,Geography,,,,,,,,,,,
City,Description,Geography,,,,,,,,,,,
State,Description,Geography,,,,,,,,,,,
Postal Code,Description,Geography,PK,,,,,Orders,,,,,
Region,Description,Geography,,,,,,Sales,,,,,
Product ID,Description,Products,PK,,,,,Quantity,,,,,
Category,Description,Products,,,,,,Discount,,,,,
Sub-Category,Description,Products,,,,,,Profit,,,,,
Product Name,Description,Products,,,,,,Order ID,,,,,
Sales,Facts,Facts,,,,,,Order Date,,,,,
Quantity,Facts,Facts,,,,,,Ship Date,,,,,
Discount,Facts,Facts,,,,,,Ship Date,,,,,
Profit,Facts,Facts,,,,,,Consumer,,,,,
,,,,,,,,Postal Code,,,,,
,,,,,,,,Product ID,,,,,
